date currency_code rate
2020-05-10 BGN 40,8836
2020-05-10 BRL 12,6659
2020-05-10 HUF 22,8842
2020-05-10 HKD 95,3046
2020-05-10 DKK 10,7191
2020-05-10 USD 73,8725
2020-05-10 EUR 80,0039
2020-05-10 INR 97,7829
2020-05-10 KZT 17,5070
2020-05-10 CAD 52,9248
2020-05-10 KGS 93,5934
2020-05-10 CNY 10,4346
2020-05-10 MDL 41,4316
2020-05-10 NOK 72,0237
2020-05-10 PLN 17,5598
2020-05-10 RON 16,5652
2020-05-10 XDR 100,5442
2020-05-10 SGD 52,2547
2020-05-10 TJS 71,9654
2020-05-10 TRY 10,3937
2020-05-10 TMT 21,1366
2020-05-10 UZS 72,8238
2020-05-10 UAH 27,5448
2020-05-10 CZK 29,3424
2020-05-10 SEK 75,3724
2020-05-10 CHF 75,9380
2020-05-10 ZAR 39,9535
2020-05-10 KRW 60,5314
2020-05-10 JPY 69,4813
2020-05-11 AUD 48,0984
2020-05-11 AZN 43,5441
2020-05-11 GBP 91,5059
2020-05-11 AMD 15,2377
2020-05-11 BYN 30,2607
2020-05-11 BGN 40,8836
2020-05-11 BRL 12,6659
2020-05-11 HUF 22,8842
2020-05-11 HKD 95,3046
2020-05-11 DKK 10,7191
2020-05-11 USD 73,8725
2020-05-11 EUR 80,0039
2020-05-11 INR 97,7829
2020-05-11 KZT 17,5070
2020-05-11 CAD 52,9248
2020-05-11 KGS 93,5934
2020-05-11 CNY 10,4346
2020-05-11 MDL 41,4316
2020-05-11 NOK 72,0237
2020-05-11 PLN 17,5598
2020-05-11 RON 16,5652
2020-05-11 XDR 100,5442
2020-05-11 SGD 52,2547
2020-05-11 TJS 71,9654
2020-05-11 TRY 10,3937
2020-05-11 TMT 21,1366
2020-05-11 UZS 72,8238
2020-05-11 UAH 27,5448
2020-05-11 CZK 29,3424
2020-05-11 SEK 75,3724
2020-05-11 CHF 75,9380
2020-05-11 ZAR 39,9535
2020-05-11 KRW 60,5314
2020-05-11 JPY 69,4813
2020-05-12 AUD 48,0984
2020-05-12 AZN 43,5441
2020-05-12 GBP 91,5059
2020-05-12 AMD 15,2377
2020-05-12 BYN 30,2607
2020-05-12 BGN 40,8836
2020-05-12 BRL 12,6659
2020-05-12 HUF 22,8842
2020-05-12 HKD 95,3046
2020-05-12 DKK 10,7191
2020-05-12 USD 73,8725
2020-05-12 EUR 80,0039
2020-05-12 INR 97,7829
2020-05-12 KZT 17,5070
